effortLevel,nDots,coherence,dotFrames,speed,dotDirections,participant,age,scriptDate,startTime,endTime,refreshRate,fixationFrames,fixationS,trialNo,blockType,task,targetFrames,targetS,blockNumber,elapsedTime,resp,rt,iti,responseTTL,overallTrialNum,keypress,acc,creditsEarned,ratingConfidence_questionText,ratingConfidence_resp,ratingConfidence_rt,ratingEffort_questionText,ratingEffort_resp,ratingEffort_rt
0,10.0,0.05,3.0,0.01,270,4,20,151018,2018-10-18-15-22-46,2018-10-18-15-24-53,60,90,1.5,1,dotMotionForced,dotMotionForced,180,10800,1,126.69263195991516,up,0.9039430618286133,0.85,250.0,1,up,0,0,How confident are you?,2,1.5532128810882568,How much effort did it require?,7,3.3163270950317383
1,100.0,0.05,3.0,0.01,90,4,20,151018,2018-10-18-15-22-46,2018-10-18-15-25-05,60,90,1.5,2,dotMotionForced,dotMotionForced,180,10800,1,138.71091890335083,right,2.2353200912475586,0.5,250.0,2,right,0,0,How confident are you?,3,2.5512490272521973,How much effort did it require?,8,2.0856921672821045
0,10.0,0.05,3.0,0.01,0,4,20,151018,2018-10-18-15-22-46,2018-10-18-15-25-15,60,90,1.5,3,dotMotionForced,dotMotionForced,180,10800,1,149.46265602111816,right,1.435770034790039,0.45,251.0,3,right,1,0,How confident are you?,5,3.3346800804138184,How much effort did it require?,8,1.851228952407837
2,500.0,0.05,3.0,0.01,0,4,20,151018,2018-10-18-15-22-46,2018-10-18-15-25-29,60,90,1.5,4,dotMotionForced,dotMotionForced,180,10800,1,162.5643219947815,,,0.6,,4,,0,0,,,,,,
2,500.0,0.05,3.0,0.01,0,4,20,151018,2018-10-18-15-22-46,2018-10-18-15-25-32,60,90,1.5,5,dotMotionForced,dotMotionForced,180,10800,1,166.4150218963623,right,0.6838951110839844,0.4,251.0,5,right,1,0,How confident are you?,2,1.4342279434204102,How much effort did it require?,8,1.7383770942687988
2,500.0,0.05,3.0,0.01,180,4,20,151018,2018-10-18-15-22-46,2018-10-18-15-25-42,60,90,1.5,6,dotMotionForced,dotMotionForced,180,10800,1,175.66457104682922,right,1.5834660530090332,0.6,250.0,6,right,0,0,How confident are you?,2,1.600214958190918,How much effort did it require?,6,1.4171929359436035
1,100.0,0.05,3.0,0.01,0,4,20,151018,2018-10-18-15-22-46,2018-10-18-15-25-53,60,90,1.5,7,dotMotionForced,dotMotionForced,180,10800,1,186.55016112327576,,,0.65,,7,,0,0,,,,,,
0,10.0,0.05,3.0,0.01,0,4,20,151018,2018-10-18-15-22-46,2018-10-18-15-25-57,60,90,1.5,8,dotMotionForced,dotMotionForced,180,10800,1,190.8833990097046,right,1.1355421543121338,0.7,251.0,8,right,1,0,How confident are you?,9,1.5521519184112549,How much effort did it require?,5,2.403452157974243
0,10.0,0.05,3.0,0.01,180,4,20,151018,2018-10-18-15-22-46,2018-10-18-15-26-07,60,90,1.5,9,dotMotionForced,dotMotionForced,180,10800,1,200.63465690612793,right,1.0536799430847168,0.5,250.0,9,right,0,0,How confident are you?,6,1.683401107788086,How much effort did it require?,7,3.1196999549865723
1,100.0,0.05,3.0,0.01,180,4,20,151018,2018-10-18-15-22-46,2018-10-18-15-26-19,60,90,1.5,10,dotMotionForced,dotMotionForced,180,10800,1,212.7023138999939,up,2.3559460639953613,0.55,250.0,10,up,0,0,How confident are you?,3,1.2527799606323242,How much effort did it require?,7,2.300150156021118
1,100.0,0.05,3.0,0.01,0,4,20,151018,2018-10-18-15-22-46,2018-10-18-15-26-29,60,90,1.5,11,dotMotionForced,dotMotionForced,180,10800,1,223.05316495895386,right,1.8853108882904053,0.75,251.0,11,right,1,0,How confident are you?,3,1.3533999919891357,How much effort did it require?,7,1.6720409393310547
2,500.0,0.05,3.0,0.01,270,4,20,151018,2018-10-18-15-22-46,2018-10-18-15-26-39,60,90,1.5,12,dotMotionForced,dotMotionForced,180,10800,1,233.05400705337524,left,2.069121837615967,0.65,250.0,12,left,0,0,How confident are you?,4,3.2530970573425293,How much effort did it require?,8,1.6168029308319092
2,500.0,0.05,3.0,0.01,270,4,20,151018,2018-10-18-15-22-46,2018-10-18-15-26-51,60,90,1.5,13,dotMotionForced,dotMotionForced,180,10800,1,245.3215310573578,left,2.568614959716797,0.65,250.0,13,left,0,0,How confident are you?,3,1.233997106552124,How much effort did it require?,7,2.3023791313171387
0,10.0,0.05,3.0,0.01,0,4,20,151018,2018-10-18-15-22-46,2018-10-18-15-27-01,60,90,1.5,14,dotMotionForced,dotMotionForced,180,10800,1,255.18951797485352,right,1.3697021007537842,0.45,251.0,14,right,1,0,How confident are you?,8,1.2388200759887695,How much effort did it require?,4,2.234339952468872
1,100.0,0.05,3.0,0.01,90,4,20,151018,2018-10-18-15-22-46,2018-10-18-15-27-12,60,90,1.5,15,dotMotionForced,dotMotionForced,180,10800,1,266.3063430786133,,,0.5,,15,,0,0,,,,,,
