effortLevel,nDots,coherence,dotFrames,speed,dotDirections,participant,age,scriptDate,startTime,endTime,refreshRate,fixationFrames,fixationS,trialNo,blockType,task,targetFrames,targetS,blockNumber,elapsedTime,resp,rt,iti,responseTTL,overallTrialNum,keypress,acc,creditsEarned,ratingConfidence_questionText,ratingConfidence_resp,ratingConfidence_rt,ratingEffort_questionText,ratingEffort_resp,ratingEffort_rt
2,500.0,0.05,3.0,0.01,180,1,17,151018,2018-10-17-11-15-42,2018-10-17-11-16-35,60,90,1.5,1,dotMotionForced,dotMotionForced,180,10800,1,52.9249355025,up,2.69546924671,0.6,250.0,1,up,0,0,How confident are you?,2,1.10346222529,How much effort did it require?,2,1.62641497795
1,100.0,0.05,3.0,0.01,270,1,17,151018,2018-10-17-11-15-42,2018-10-17-11-16-43,60,90,1.5,2,dotMotionForced,dotMotionForced,180,10800,1,61.0259147193,right,0.451658322476,0.55,250.0,2,right,0,0,How confident are you?,2,0.833560461178,How much effort did it require?,2,0.689492382109
1,100.0,0.05,3.0,0.01,90,1,17,151018,2018-10-17-11-15-42,2018-10-17-11-16-52,60,90,1.5,3,dotMotionForced,dotMotionForced,180,10800,1,70.2926456747,,,0.85,,3,,0,0,,,,,,
2,500.0,0.05,3.0,0.01,270,1,17,151018,2018-10-17-11-15-42,2018-10-17-11-16-58,60,90,1.5,4,dotMotionForced,dotMotionForced,180,10800,1,76.091634891,left,2.4158494235,0.75,250.0,4,left,0,0,How confident are you?,2,0.799076795578,How much effort did it require?,2,0.808158704545
0,10.0,0.05,3.0,0.01,0,1,17,151018,2018-10-17-11-15-42,2018-10-17-11-17-07,60,90,1.5,5,dotMotionForced,dotMotionForced,180,10800,1,85.1930956314,right,2.55088243075,0.55,251.0,5,right,1,0,How confident are you?,1,1.21235402673,How much effort did it require?,1,0.741829329636
1,100.0,0.05,3.0,0.01,0,1,17,151018,2018-10-17-11-15-42,2018-10-17-11-17-16,60,90,1.5,6,dotMotionForced,dotMotionForced,180,10800,1,94.392898595,right,2.68449781276,0.85,251.0,6,right,1,0,How confident are you?,1,0.72798703704,How much effort did it require?,1,0.208493493963
1,100.0,0.05,3.0,0.01,0,1,17,151018,2018-10-17-11-15-42,2018-10-17-11-17-24,60,90,1.5,7,dotMotionForced,dotMotionForced,180,10800,1,102.326370964,up,1.83459151955,0.4,250.0,7,up,0,0,How confident are you?,1,0.61131129181,How much effort did it require?,1,0.274746197276
0,10.0,0.05,3.0,0.01,0,1,17,151018,2018-10-17-11-15-42,2018-10-17-11-17-33,60,90,1.5,8,dotMotionForced,dotMotionForced,180,10800,1,110.776418539,,,0.85,,8,,0,0,,,,,,
2,500.0,0.05,3.0,0.01,180,1,17,151018,2018-10-17-11-15-42,2018-10-17-11-17-39,60,90,1.5,9,dotMotionForced,dotMotionForced,180,10800,1,117.024940764,up,2.86419385951,0.75,250.0,9,up,0,0,How confident are you?,2,0.730788602028,How much effort did it require?,2,0.407483544666
0,10.0,0.05,3.0,0.01,0,1,17,151018,2018-10-17-11-15-42,2018-10-17-11-17-46,60,90,1.5,10,dotMotionForced,dotMotionForced,180,10800,1,123.992790613,right,0.9846136868,0.7,251.0,10,right,1,0,How confident are you?,1,0.631894600112,How much effort did it require?,1,0.292410205584
1,100.0,0.05,3.0,0.01,180,1,17,151018,2018-10-17-11-15-42,2018-10-17-11-17-54,60,90,1.5,11,dotMotionForced,dotMotionForced,180,10800,1,131.776611662,right,1.90119902976,0.4,250.0,11,right,0,0,How confident are you?,2,0.791330385953,How much effort did it require?,2,0.458721102681
2,500.0,0.05,3.0,0.01,0,1,17,151018,2018-10-17-11-15-42,2018-10-17-11-18-01,60,90,1.5,12,dotMotionForced,dotMotionForced,180,10800,1,138.758483453,right,1.23052233644,0.55,251.0,12,right,1,0,How confident are you?,2,1.91965991119,How much effort did it require?,2,0.457102976739
0,10.0,0.05,3.0,0.01,90,1,17,151018,2018-10-17-11-15-42,2018-10-17-11-18-11,60,90,1.5,13,dotMotionForced,dotMotionForced,180,10800,1,148.826943917,,,0.55,,13,,0,0,,,,,,
2,500.0,0.05,3.0,0.01,0,1,17,151018,2018-10-17-11-15-42,2018-10-17-11-18-16,60,90,1.5,14,dotMotionForced,dotMotionForced,180,10800,1,153.741734693,up,1.83120898157,0.75,250.0,14,up,0,0,How confident are you?,1,2.45820044074,How much effort did it require?,1,0.0211052531376
0,10.0,0.05,3.0,0.01,180,1,17,151018,2018-10-17-11-15-42,2018-10-17-11-18-24,60,90,1.5,15,dotMotionForced,dotMotionForced,180,10800,1,162.292737745,right,1.20075157564,0.5,250.0,15,right,0,0,How confident are you?,1,1.45783761377,How much effort did it require?,1,4.19164624764
