trialType,task1,task2,participant,age,scriptDate,startTime,endTime,refreshRate,fixationFrames,fixationS,trialNo,blockType,task,targetFrames,targetS,blockNumber,elapsedTime,resp,choice,rt,iti,responseTTL,overallTrialNum,keypress,acc,creditsEarned,dotMotion_effortLevel,dotMotion_nDots,dotMotion_coherence,dotMotion_dotFrames,dotMotion_speed,dotMotion_dotDirections,dotMotion_resp,dotMotion_rt,dotMotion_acc
1_2,2,1,2,19,151018,2018-10-17-11-21-31,2018-10-17-11-25-51,60,90,1.5,1,dotMotionDST,dotMotionDST,180,10800,1,260.038767274,left,2.0,1.49712866498,0.4,251.0,1,left,1,0,2.0,500.0,0.05,3.0,0.01,270.0,up,2.80278077256,0.0
0_2,0,2,2,19,151018,2018-10-17-11-21-31,2018-10-17-11-26-00,60,90,1.5,2,dotMotionDST,dotMotionDST,180,10800,1,269.439597702,left,0.0,1.42768601561,0.5,250.0,2,left,1,0,0.0,10.0,0.05,3.0,0.01,270.0,right,2.16744979704,0.0
0_2,0,2,2,19,151018,2018-10-17-11-21-31,2018-10-17-11-26-08,60,90,1.5,3,dotMotionDST,dotMotionDST,180,10800,1,277.571582877,left,0.0,0.785206616856,0.6,250.0,3,left,1,0,0.0,10.0,0.05,3.0,0.01,180.0,left,2.35175836179,1.0
1_2,2,1,2,19,151018,2018-10-17-11-21-31,2018-10-17-11-26-17,60,90,1.5,4,dotMotionDST,dotMotionDST,180,10800,1,286.071711037,right,1.0,0.901475398801,0.75,250.0,4,right,1,0,1.0,100.0,0.05,3.0,0.01,180.0,right,2.11833153618,0.0
1_2,2,1,2,19,151018,2018-10-17-11-21-31,2018-10-17-11-26-25,60,90,1.5,5,dotMotionDST,dotMotionDST,180,10800,1,294.170776831,right,1.0,0.667340243235,0.55,250.0,5,right,1,0,1.0,100.0,0.05,3.0,0.01,0.0,left,2.36775256926,0.0
0_1,1,0,2,19,151018,2018-10-17-11-21-31,2018-10-17-11-26-33,60,90,1.5,6,dotMotionDST,dotMotionDST,180,10800,1,302.389027493,right,0.0,0.819318739232,0.8,250.0,6,right,1,0,0.0,10.0,0.05,3.0,0.01,270.0,right,1.98520398652,0.0
0_2,0,2,2,19,151018,2018-10-17-11-21-31,2018-10-17-11-26-41,60,90,1.5,7,dotMotionDST,dotMotionDST,180,10800,1,310.271853088,right,2.0,0.718154261354,0.65,251.0,7,right,1,0,2.0,500.0,0.05,3.0,0.01,270.0,right,1.38185019791,0.0
1_2,2,1,2,19,151018,2018-10-17-11-21-31,2018-10-17-11-26-49,60,90,1.5,8,dotMotionDST,dotMotionDST,180,10800,1,317.988956724,right,1.0,0.934354680125,0.75,250.0,8,right,1,0,1.0,100.0,0.05,3.0,0.01,180.0,right,1.73303496651,0.0
0_1,1,0,2,19,151018,2018-10-17-11-21-31,2018-10-17-11-26-56,60,90,1.5,9,dotMotionDST,dotMotionDST,180,10800,1,325.4378442,right,0.0,0.717674341984,0.7,250.0,9,right,1,0,0.0,10.0,0.05,3.0,0.01,0.0,right,1.08511413028,1.0
0_1,1,0,2,19,151018,2018-10-17-11-21-31,2018-10-17-11-27-03,60,90,1.5,10,dotMotionDST,dotMotionDST,180,10800,1,332.53710857,right,0.0,0.635066956282,0.5,250.0,10,right,1,0,0.0,10.0,0.05,3.0,0.01,270.0,right,1.70203718683,0.0
0_2,0,2,2,19,151018,2018-10-17-11-21-31,2018-10-17-11-27-11,60,90,1.5,11,dotMotionDST,dotMotionDST,180,10800,1,339.970614569,left,0.0,0.666977737099,0.7,250.0,11,left,1,0,0.0,10.0,0.05,3.0,0.01,180.0,left,2.15217771381,1.0
0_2,0,2,2,19,151018,2018-10-17-11-21-31,2018-10-17-11-27-18,60,90,1.5,12,dotMotionDST,dotMotionDST,180,10800,1,347.670434375,left,0.0,0.434054249432,0.45,250.0,12,left,1,0,0.0,10.0,0.05,3.0,0.01,90.0,right,0.884153072722,0.0
1_2,2,1,2,19,151018,2018-10-17-11-21-31,2018-10-17-11-27-26,60,90,1.5,13,dotMotionDST,dotMotionDST,180,10800,1,355.505259383,right,1.0,1.86243480118,0.4,250.0,13,right,1,0,1.0,100.0,0.05,3.0,0.01,180.0,left,2.21667745104,1.0
0_1,1,0,2,19,151018,2018-10-17-11-21-31,2018-10-17-11-27-35,60,90,1.5,14,dotMotionDST,dotMotionDST,180,10800,1,364.071848019,left,1.0,1.05211069854,0.6,251.0,14,left,1,0,1.0,100.0,0.05,3.0,0.01,180.0,right,0.98333980795,0.0
0_2,0,2,2,19,151018,2018-10-17-11-21-31,2018-10-17-11-27-42,60,90,1.5,15,dotMotionDST,dotMotionDST,180,10800,1,371.323108529,left,0.0,0.919114677235,0.8,250.0,15,left,1,0,0.0,10.0,0.05,3.0,0.01,270.0,right,1.50092086103,0.0
1_2,2,1,2,19,151018,2018-10-17-11-21-31,2018-10-17-11-27-49,60,90,1.5,16,dotMotionDST,dotMotionDST,180,10800,1,378.855117957,right,1.0,0.798279925715,0.85,250.0,16,right,1,0,1.0,100.0,0.05,3.0,0.01,0.0,right,1.3005221691,1.0
0_2,0,2,2,19,151018,2018-10-17-11-21-31,2018-10-17-11-27-57,60,90,1.5,17,dotMotionDST,dotMotionDST,180,10800,1,386.738934829,right,2.0,1.08502751356,0.8,251.0,17,right,1,0,2.0,500.0,0.05,3.0,0.01,180.0,right,2.61597957928,0.0
1_2,2,1,2,19,151018,2018-10-17-11-21-31,2018-10-17-11-28-06,60,90,1.5,18,dotMotionDST,dotMotionDST,180,10800,1,395.054865101,right,1.0,0.500871136785,0.55,250.0,18,right,1,0,1.0,100.0,0.05,3.0,0.01,270.0,right,1.19892877899,0.0
0_1,1,0,2,19,151018,2018-10-17-11-21-31,2018-10-17-11-28-13,60,90,1.5,19,dotMotionDST,dotMotionDST,180,10800,1,402.089130887,right,0.0,0.801350639202,0.5,250.0,19,right,1,0,0.0,10.0,0.05,3.0,0.01,270.0,right,1.95151083171,0.0
0_1,1,0,2,19,151018,2018-10-17-11-21-31,2018-10-17-11-28-21,60,90,1.5,20,dotMotionDST,dotMotionDST,180,10800,1,410.621859873,left,1.0,1.30080126598,0.85,251.0,20,left,1,0,1.0,100.0,0.05,3.0,0.01,180.0,right,1.55106697045,0.0
1_2,2,1,2,19,151018,2018-10-17-11-21-31,2018-10-17-11-28-29,60,90,1.5,21,dotMotionDST,dotMotionDST,180,10800,1,417.970937616,right,1.0,0.763529729098,0.45,250.0,21,right,1,0,1.0,100.0,0.05,3.0,0.01,180.0,left,3.03309197305,1.0
0_1,1,0,2,19,151018,2018-10-17-11-21-31,2018-10-17-11-28-37,60,90,1.5,22,dotMotionDST,dotMotionDST,180,10800,1,426.688834915,left,1.0,0.485194202047,0.6,251.0,22,left,1,0,1.0,100.0,0.05,3.0,0.01,270.0,left,0.349361652974,0.0
0_2,0,2,2,19,151018,2018-10-17-11-21-31,2018-10-17-11-28-43,60,90,1.5,23,dotMotionDST,dotMotionDST,180,10800,1,432.52248226,right,2.0,0.393310195301,0.6,251.0,23,right,1,0,2.0,500.0,0.05,3.0,0.01,0.0,right,2.54646924092,1.0
1_2,2,1,2,19,151018,2018-10-17-11-21-31,2018-10-17-11-28-52,60,90,1.5,24,dotMotionDST,dotMotionDST,180,10800,1,440.971826237,right,1.0,0.644533170853,0.45,250.0,24,right,1,0,1.0,100.0,0.05,3.0,0.01,270.0,right,3.13430842059,0.0
0_1,1,0,2,19,151018,2018-10-17-11-21-31,2018-10-17-11-29-01,60,90,1.5,25,dotMotionDST,dotMotionDST,180,10800,1,450.488325867,right,0.0,0.927797173616,0.65,250.0,25,right,1,0,0.0,10.0,0.05,3.0,0.01,270.0,right,0.750430115033,0.0
0_1,1,0,2,19,151018,2018-10-17-11-21-31,2018-10-17-11-29-08,60,90,1.5,26,dotMotionDST,dotMotionDST,180,10800,1,457.238790629,right,0.0,0.767752761953,0.45,250.0,26,right,1,0,0.0,10.0,0.05,3.0,0.01,270.0,right,2.03507741448,0.0
1_2,2,1,2,19,151018,2018-10-17-11-21-31,2018-10-17-11-29-15,60,90,1.5,27,dotMotionDST,dotMotionDST,180,10800,1,464.853429899,right,1.0,0.583658813499,0.75,250.0,27,right,1,0,1.0,100.0,0.05,3.0,0.01,90.0,right,1.01787282247,0.0
0_1,1,0,2,19,151018,2018-10-17-11-21-31,2018-10-17-11-29-23,60,90,1.5,28,dotMotionDST,dotMotionDST,180,10800,1,472.305601421,left,1.0,1.09584494494,0.6,251.0,28,left,1,0,1.0,100.0,0.05,3.0,0.01,90.0,right,0.732251889538,0.0
0_2,0,2,2,19,151018,2018-10-17-11-21-31,2018-10-17-11-29-29,60,90,1.5,29,dotMotionDST,dotMotionDST,180,10800,1,478.638892516,right,2.0,0.402017393149,0.7,251.0,29,right,1,0,2.0,500.0,0.05,3.0,0.01,270.0,down,1.68455734663,1.0
0_2,0,2,2,19,151018,2018-10-17-11-21-31,2018-10-17-11-29-37,60,90,1.5,30,dotMotionDST,dotMotionDST,180,10800,1,486.204849173,left,0.0,0.884700360242,0.6,250.0,30,left,1,0,0.0,10.0,0.05,3.0,0.01,180.0,left,1.40181240113,1.0
